Neighborhood;Borough;PopDisability;Hearing;Vision;Cognitive;Ambulatory;SelfCare;IndLiving;Under18Disability
Kingsbridge Heights-Van Cortlandt Village;Bronx;4.852;634;1.492;1.817;2.568;1.109;1.917;511
Kingsbridge-Marble Hill;Bronx;5.010;1.016;1.009;1.534;2.719;1.036;1.685;533
Riverdale-Spuyten Duyvil;Bronx;6.170;1.385;1.414;1.918;3.857;1.453;2.278;386
Soundview-Bruckner-Bronx River;Bronx;9.642;1.425;2.039;3.823;5.825;2.391;3.633;938
Soundview-Clason Point;Bronx;6.423;934;1.390;2.559;3.689;1.412;2.159;850
Castle Hill-Unionport;Bronx;6.361;1.167;1.599;2.218;4.389;1.847;3.058;485
Parkchester;Bronx;3.814;671;689;1.724;2.609;1.568;1.792;168
Westchester Square;Bronx;2.098;252;414;851;1.145;443;815;288
Throgs Neck-Schuylerville;Bronx;9.583;1.641;4.667;2.957;4.368;1.612;3.338;577
Pelham Bay-Country Club-City Island;Bronx;4.535;1.155;2.170;1.242;2.345;875;1.614;334
Co-op City;Bronx;5.833;510;996;1.960;3.860;1.406;1.843;345
Pelham Parkway-Van Nest;Bronx;4.651;1.066;1.567;1.681;2.280;1.271;1.713;504
Morris Park;Bronx;2.836;637;537;1.395;1.512;788;1.312;300
Pelham Gardens;Bronx;3.445;842;946;1.327;1.961;891;1.514;240
Allerton;Bronx;5.719;1.096;927;2.211;3.312;1.410;2.280;460
Williamsbridge-Olinville;Bronx;8.977;1.207;2.017;3.800;5.116;2.181;3.686;847
Eastchester-Edenwald-Baychester;Bronx;7.736;1.144;1.857;3.560;4.226;1.978;2.831;1.563
Wakefield-Woodlawn;Bronx;6.555;1.274;1.434;2.767;3.457;1.290;2.156;588
Financial District-Battery Park City;Manhattan;1.874;458;338;756;917;309;795;124
Tribeca-Civic Center;Manhattan;1.132;245;214;461;511;276;226;47
SoHo-Little Italy-Hudson Square;Manhattan;1.404;320;298;511;782;383;617;12
Greenwich Village;Manhattan;2.135;653;310;573;1.113;305;767;13
West Village;Manhattan;2.268;498;570;474;1.165;362;600;61
Chinatown-Two Bridges;Manhattan;4.878;1.066;778;2.021;3.437;1.431;2.847;135
Lower East Side;Manhattan;6.342;1.728;1.588;2.763;3.954;1.636;3.247;127
East Village;Manhattan;8.666;2.219;2.294;3.306;4.723;2.400;3.596;215
Chelsea-Hudson Yards;Manhattan;6.138;1.594;1.248;2.131;3.342;1.812;2.524;186
Hell's Kitchen;Manhattan;7.485;1.464;923;2.898;4.803;2.399;2.878;171
Midtown South-Flatiron-Union Square;Manhattan;1.410;321;159;617;526;96;277;9
Midtown-Times Square;Manhattan;2.284;639;507;927;1.355;348;632;26
Stuyvesant Town-Peter Cooper Village;Manhattan;1.316;231;137;237;702;249;548;68
Gramercy;Manhattan;1.857;430;258;812;766;469;613;0
Murray Hill-Kips Bay;Manhattan;3.405;457;440;975;1.857;628;1.318;192
East Midtown-Turtle Bay;Manhattan;2.928;545;484;960;1.804;573;1.049;26
Upper West Side-Lincoln Square;Manhattan;5.723;2.100;866;1.532;3.112;1.437;1.848;77
Upper West Side (Central);Manhattan;9.647;2.977;1.625;3.309;5.267;2.900;4.068;590
Upper West Side-Manhattan Valley;Manhattan;5.166;1.497;1.230;2.080;3.395;1.882;2.659;104
Upper East Side-Lenox Hill-Roosevelt Island;Manhattan;5.285;1.118;578;1.285;3.221;1.006;1.483;279
Upper East Side-Carnegie Hill;Manhattan;4.146;1.234;582;961;2.411;1.073;1.317;256
Upper East Side-Yorkville;Manhattan;6.955;1.492;1.031;2.309;4.345;1.169;2.297;336
Morningside Heights;Manhattan;2.673;526;358;1.113;1.195;515;1.314;122
Manhattanville-West Harlem;Manhattan;3.283;479;395;1.579;1.904;1.023;1.563;313
Hamilton Heights-Sugar Hill;Manhattan;5.976;841;1.295;2.034;3.977;1.743;2.439;217
Harlem (South);Manhattan;4.609;554;976;1.809;3.000;1.312;2.013;136
Harlem (North);Manhattan;11.049;1.515;1.926;4.358;6.878;2.956;4.341;713
East Harlem (South);Manhattan;8.740;1.422;1.577;3.997;4.794;2.124;4.007;1.037
East Harlem (North);Manhattan;10.620;1.584;2.002;5.048;6.265;3.133;4.768;934
Washington Heights (South);Manhattan;14.267;2.287;2.243;6.048;9.102;3.552;6.195;776
Washington Heights (North);Manhattan;10.238;1.493;1.873;4.279;5.741;2.219;4.089;474
Inwood;Manhattan;6.324;985;1.024;2.942;3.755;1.566;3.133;608
Astoria (North)-Ditmars-Steinway;Queens;4.239;780;1.126;1.312;2.635;918;1.783;148
Old Astoria-Hallets Point;Queens;1.500;207;244;622;900;422;831;147
Astoria (Central);Queens;3.646;744;705;1.186;1.868;719;1.653;223
Astoria (East)-Woodside (North);Queens;2.991;664;398;1.119;1.445;573;1.044;212
Queensbridge-Ravenswood-Dutch Kills;Queens;3.256;550;520;1.242;1.989;597;1.499;122
Long Island City-Hunters Point;Queens;673;123;58;231;437;80;356;13
Sunnyside;Queens;3.068;756;497;991;1.841;554;1.205;186
Woodside;Queens;3.150;467;481;926;1.951;611;1.002;212
Jackson Heights;Queens;10.321;2.602;3.071;3.348;5.576;2.489;3.785;430
East Elmhurst;Queens;2.493;591;491;868;1.556;725;1.064;94
North Corona;Queens;2.804;351;651;1.245;1.309;539;635;529
Elmhurst;Queens;8.136;1.760;1.098;2.725;4.856;1.617;3.324;602
Corona;Queens;8.063;1.531;1.846;3.579;4.921;2.282;2.939;970
Maspeth;Queens;3.741;972;841;1.123;1.841;691;1.044;371
Ridgewood;Queens;4.648;891;832;1.395;2.999;1.029;1.715;206
Glendale;Queens;3.188;577;716;1.019;1.631;705;1.216;273
Middle Village;Queens;3.564;926;685;1.515;2.039;1.160;1.787;151
Rego Park;Queens;3.654;1.079;604;1.403;2.132;955;1.822;211
Forest Hills;Queens;9.573;2.749;1.686;3.516;6.050;2.571;4.767;166
College Point;Queens;2.351;642;346;642;1.514;660;929;44
Whitestone-Beechhurst;Queens;3.364;1.035;675;908;1.961;636;1.171;80
Bay Terrace-Clearview;Queens;3.065;774;416;975;1.942;901;1.340;264
Murray Hill-Broadway Flushing;Queens;3.773;916;633;1.311;2.404;1.177;1.767;92
East Flushing;Queens;2.704;656;596;750;1.640;874;1.428;82
Queensboro Hill;Queens;1.372;582;141;359;673;200;546;110
Flushing-Willets Point;Queens;5.458;1.161;1.303;1.971;3.863;2.403;3.349;83
Kew Gardens Hills;Queens;3.367;716;389;1.082;1.991;680;1.100;262
Pomonok-Electchester-Hillcrest;Queens;4.535;1.113;421;1.532;2.435;709;1.657;146
Fresh Meadows-Utopia;Queens;1.990;622;425;745;1.049;367;738;122
Jamaica Estates-Holliswood;Queens;2.650;616;713;769;1.450;612;1.151;123
Jamaica Hills-Briarwood;Queens;3.308;546;627;1.062;2.028;910;1.614;130
Kew Gardens;Queens;2.799;470;637;640;1.652;584;1.059;200
Richmond Hill;Queens;3.941;868;912;1.315;2.171;609;1.522;165
South Richmond Hill;Queens;2.023;279;466;677;1.303;559;925;139
Ozone Park (North);Queens;2.581;568;698;855;1.504;834;977;155
Woodhaven;Queens;3.511;853;695;1.355;2.047;1.108;1.770;189
South Ozone Park;Queens;8.420;1.699;2.184;2.576;4.820;2.193;3.434;490
Ozone Park;Queens;2.510;425;612;997;1.460;769;1.241;254
Howard Beach-Lindenwood;Queens;4.846;1.434;723;1.601;3.002;1.212;1.740;376
Auburndale;Queens;3.043;826;580;1.117;1.823;1.007;1.504;196
Bayside;Queens;3.216;949;531;1.031;1.665;847;1.303;217
Douglaston-Little Neck;Queens;2.469;743;300;1.206;1.642;824;1.405;59
Oakland Gardens-Hollis Hills;Queens;2.492;531;470;975;1.638;688;1.115;97
Jamaica;Queens;6.420;872;1.063;2.183;4.341;1.968;3.059;373
South Jamaica;Queens;4.551;540;704;1.501;3.280;1.458;2.851;202
Baisley Park;Queens;4.505;854;892;1.760;2.653;1.094;1.650;315
Springfield Gardens (North)-Rochdale Village;Queens;4.039;628;604;674;3.020;696;1.140;193
St. Albans;Queens;5.551;809;1.057;1.808;3.403;1.784;2.425;366
Hollis;Queens;2.912;629;605;1.117;1.585;755;1.271;141
Glen Oaks-Floral Park-New Hyde Park;Queens;3.175;731;309;951;2.189;715;1.728;37
Bellerose;Queens;2.747;801;583;964;1.680;1.074;1.662;78
Queens Village;Queens;6.030;1.144;1.000;1.921;3.876;1.845;3.049;259
Cambria Heights;Queens;2.754;485;778;883;1.524;834;1.152;247
Laurelton;Queens;2.755;349;510;758;1.571;691;1.025;178
Springfield Gardens (South)-Brookville;Queens;2.017;248;381;480;1.295;502;882;42
Rosedale;Queens;2.210;356;528;1.007;1.195;451;995;208
Far Rockaway-Bayswater;Queens;7.980;1.390;1.653;2.909;4.656;2.216;3.278;900
Rockaway Beach-Arverne-Edgemere;Queens;5.176;778;1.293;1.761;3.088;1.492;2.166;412
Breezy Point-Belle Harbor-Rockaway Park-Broad Channel;Queens;3.418;878;784;1.076;1.660;722;1.293;239
St. George-New Brighton;Staten Island;2.240;363;359;838;1.331;769;1.027;39
Tompkinsville-Stapleton-Clifton-Fox Hills;Staten Island;1.834;455;264;877;1.136;498;805;112
Rosebank-Shore Acres-Park Hill;Staten Island;2.923;583;463;1.051;1.752;1.046;1.066;296
West New Brighton-Silver Lake-Grymes Hill;Staten Island;3.412;817;466;1.230;1.591;734;1.490;312
Westerleigh-Castleton Corners;Staten Island;2.911;564;402;728;1.703;693;1.479;19
Port Richmond;Staten Island;1.974;390;186;685;1.014;402;877;96
Mariner's Harbor-Arlington-Graniteville;Staten Island;3.202;548;597;731;2.039;688;1.065;269
Grasmere-Arrochar-South Beach-Dongan Hills;Staten Island;4.231;772;739;1.504;2.482;1.201;2.045;86
New Dorp-Midland Beach;Staten Island;2.835;648;375;897;1.741;856;1.361;85
Todt Hill-Emerson Hill-Lighthouse Hill-Manor Heights;Staten Island;3.409;930;906;953;1.986;708;1.523;183
New Springville-Willowbrook-Bulls Head-Travis;Staten Island;3.764;700;481;1.179;2.249;1.025;1.938;329
Oakwood-Richmondtown;Staten Island;2.536;325;427;703;1.707;519;1.177;36
Great Kills-Eltingville;Staten Island;4.837;1.033;329;1.419;2.878;1.033;2.238;281
Arden Heights-Rossville;Staten Island;2.981;583;199;1.043;1.810;765;1.656;92
Annadale-Huguenot-Prince's Bay-Woodrow;Staten Island;4.284;921;688;1.575;2.653;1.242;1.941;109
Tottenville-Charleston;Staten Island;1.477;182;260;448;992;366;695;31
